ABSENT-MINDED,H4,,Negativ,,,,Weak,,Passive,|
ABSENTEE,H4,,Negativ,,,,Weak,,,|
ABSOLUTE#1,H4Lvd,,,,,Strong,,,,"| 27% adj: Perfect, without limitation or qualification"
ABSOLUTE#2,H4Lvd,,,,,Strong,,,,"| 73% adv: ""Absolutely""--without qualification, certainly, totally"
ABSOLVE,H4,Positiv,,,,,,Active,,|
ABSORB#1,H4Lvd,,,,,,,,,|
ABSORB#2,Lvd,,,,,,,,,
ABSORBENT,H4,Positiv,,,,,,,,|
ABSORPTION,H4,Positiv,,,,,,,,|
ABSTAIN,Lvd,,,,,,,,,
ABSTRACT,H4Lvd,,,,,,,,,|
ABSTRACTION,H4Lvd,,,,,,,,,|
ABSURD,H4Lvd,,Negativ,,Ngtv,,,,,|
ABSURDITY,H4,,Negativ,,,,,,,|
ABUNDANCE,H4Lvd,Positiv,,Pstv,,Strong,,,,|
ABUNDANT,H4Lvd,Positiv,,Pstv,,Strong,,,,|
ABUSE#1,H4Lvd,,Negativ,,Ngtv,,,Active,,|
ABUSE#2,H4Lvd,,Negativ,,Ngtv,Strong,,Active,,|
ABYSS,H4Lvd,,Negativ,,Ngtv,,,,,|
ABYSSINIA,Lvd,,,,,,,,,
ACADEMIC,H4Lvd,,,,,,,,,| adjective: Of or pertaining to a college or other educational institution
ACADEMY,H4Lvd,,,,,,,,,|
ACCEDE,H4Lvd,Positiv,,,,,,Active,,|
ACCELERATE,H4Lvd,,,,,Strong,,Active,,|
ACCELERATION,H4Lvd,,,,,Strong,,Active,,|
ACCENTUATE,H4,Positiv,,,,,,Active,,|
ACCEPT,H4Lvd,Positiv,,Pstv,,,,,Passive,"| verb: To take, receive or accede to something"
ACCEPTABLE,H4Lvd,Positiv,,Pstv,,,,,,|
ACCEPTANCE,H4Lvd,Positiv,,Pstv,,,,,Passive,|
ACCESS,H4Lvd,,,,,,,,,|
ACCESSIBLE,H4,Positiv,,,,,,,,|
ACCESSION,H4,Positiv,,,,Strong,,,,|
ACCIDENT,H4Lvd,,Negativ,,Ngtv,,,,,"| noun: An unfortunate happening, unintentionally caused and unexpected"
ACCIDENTAL,H4Lvd,,,,,,,,,|
ACCLAIM,H4,Positiv,,,,,,,,|
ACCLAMATION,H4,Positiv,,,,,,,,|
ACCOLADE,H4,Positiv,,,,,,,,|
ACCOMMODATE,H4Lvd,Positiv,,Pstv,,,,Active,,|
ACCOMMODATION,H4Lvd,Positiv,,,,,,,,|
ACCOMPANIMENT,H4,Positiv,,,,,,,,|
ACCOMPANY#1,H4Lvd,,,,,,,Active,,"| 59% verb-adj: To go along in company with, to escort; ""accompanying""--  attendant (no adjective occurrences this sample)"
ACCOMPANY#2,H4Lvd,,,,,,,,,"| 41% verb-adj: To be or exist in company with something; ""accompanying""--  concomitant (one adjectiv"
ACCOMPLISH,H4Lvd,Positiv,,Pstv,,Strong,,Active,,| verb: To bring to its goal or conclusion
ACCOMPLISHMENT,H4Lvd,Positiv,,Pstv,,Strong,,Active,,|
ACCORD#1,H4Lvd,,,,,,,,,"| 63% prep: ""According to"" or ""in accord with""--consistent with, on the  authority of, in proportion to"
ACCORD#2,H4Lvd,Positiv,,Pstv,,,,,,"| 3% verb: ""Accord with"" to be consistent with"
ACCORD#3,H4Lvd,Positiv,,Pstv,,,,,,"| 8% verb: To grant, bestow"
ACCORD#4,H4Lvd,,,,,,,,,"| 25% adv: ""Accordingly""--correspondingly"
ACCORD#5,H4Lvd,Positiv,,Pstv,,,,,,"| 3% adv: ""Of one's own accord""--voluntarily"
ACCORDANCE,H4Lvd,Positiv,,Pstv,,,,,,|
ACCOST,H4,,Negativ,,,,,Active,,|
ACCOUNT#1,H4Lvd,,,,,,,,,"| 29% prep: ""On account of""--because of"
ACCOUNT#2,H4Lvd,,,,,,,,,"| 26% noun: A bank account, charge account, etc.--a business relation; a  record of business transactions"
ACCOUNT#3,H4Lvd,,,,,,,,,"| 16% noun: A narration, explanation"
ACCOUNT#4,H4Lvd,,,,,,,,,"| 8% noun: ""On that (this) account""--in that regard"
ACCOUNT#5,H4Lvd,,,,,,,Active,,"| 11% verb: To explain, dispose of (usually with ""for"")"
ACCOUNT#6,H4Lvd,,,,,,,,,"| 5% noun: To ""take into account,"" ""take account of""--to take into consideration"
ACCOUNT#7,H4Lvd,,,,,,,,,"| 3% noun-adj: ""Accounting""--keeping, analyzing or settling commercial accounts"
ACCOUNT#8,H4Lvd,,,,,,,,,"| 3% adv: ""On no account""--under no circumstances"
ACCOUNTABLE,H4,Positiv,,,,,,,,|
ACCRUE,H4,Positiv,,,,,,Active,,|
ACCUMULATE,H4Lvd,,,,,,,Active,,|
ACCUMULATION,H4Lvd,,,,,,,Active,,|
ACCURACY,H4Lvd,Positiv,,Pstv,,,,,,|
ACCURATE,H4Lvd,Positiv,,Pstv,,,,,,|
ACCURATENESS,H4,Positiv,,,,,,,,|
ACCURSED,H4,,Negativ,,,,,,,|
ACCUSATION,H4,,Negativ,,,,,,,|
ACCUSE#1,H4Lvd,,Negativ,,Ngtv,,,,,|
ACCUSE#2,H4Lvd,,Negativ,,Ngtv,,,,,|
ACCUSTOM#1,H4Lvd,,,,,,,,Passive,|
ACCUSTOM#2,H4Lvd,,,,,,,,Passive,|
ACHE,H4,,Negativ,,,,,,Passive,|
ACHIEVE,H4Lvd,Positiv,,Pstv,,Strong,,Active,,| verb: To accomplish or carry through
ACHIEVEMENT,H4Lvd,Positiv,,Pstv,,,,Active,,|
ACKNOWLEDGE,H4Lvd,,,,,,,,,|
ACKNOWLEDGEMENT,H4,Positiv,,,,,,,,|
ACKNOWLEDGMENT,Lvd,,,,,,,,,
ACQUAINT,H4Lvd,Positiv,,Pstv,,,,,,|
ACQUAINTANCE,H4Lvd,Positiv,,Pstv,,,,,,|
ACQUIRE#1,H4Lvd,,,,,Strong,,Active,,|
ACQUIRE#2,H4Lvd,,,,,Strong,,Active,,|
ACQUISITION,H4Lvd,,,,,Strong,,Active,,|
ACQUIT,H4,Positiv,,,,,,,,|
ACQUITTAL,H4,Positiv,,,,,,,,|
ACRE,H4Lvd,,,,,,,,,|
ACRIMONIOUS,H4,,Negativ,,,,,,,|
ACRIMONY,H4,,Negativ,,,,,,Passive,|
ACROSS#1,H4Lvd,,,,,,,,,"| 63% prep: From one point to another, on, over, athwart"
ACROSS#2,H4Lvd,,,,,,,,,"| 25% adv: From one point to another, over, transversely so as to be understood  (usually with ""get"" or ""put""--8 occurrences)"
ACROSS#3,H4Lvd,,,,,,,,,"| 8% idiom-verb: ""Come across""--discover, encounter"
ACROSS#4,H4Lvd,,,,,,,,,"| 2% idiom-prep: ""Across from""--opposite"
ACROSS#5,H4Lvd,,,,,,,,,"| 1% idiom-adv: ""Across the board""--without exception--handled by ""board"""
ACT#1,H4Lvd,,,,,Strong,,Active,,"| 52% verb: To do something, to operate, perform a function; to feign (2),  to perform in the theatre (0)"
ACT#2,H4Lvd,,,,,Strong,,Active,,| 8% idiom-verb: 'act as'--to replace in function.
ACT#3,H4Lvd,,,,,Strong,,Active,,"| 25% noun: A deed, performance, anything done; a law--""the mills act"" (7)"
ACT#4,H4Lvd,,,,,,,Active,,"| 2% verb: 'act up'--to misbehave, malfunction."
ACTION,H4Lvd,,,,,Strong,,Active,,| noun: The doing or performance of something; an act or thing done
ACTIVE#1,H4Lvd,,,,,Strong,,Active,,"| 86% adjective: In a state of action, in actual progress or motion, busy."
ACTIVE#2,H4Lvd,,,,,,,Active,,"| 14% adverb: ""Actively""--busily, energetically"
ACTIVITY,H4Lvd,,,,,,,Active,,"| noun: The state of being active, a specific action or pursuit"
ACTOR,H4Lvd,,,,,,,Active,,|
ACTUAL#1,H4Lvd,Positiv,,Pstv,,,,,,"| 27% adjective: Existing in act or fact, real."
ACTUAL#2,H4Lvd,Positiv,,Pstv,,,,,,"| 73% adverb: ""Actually""--really"
ACTUALITY,H4Lvd,Positiv,,Pstv,,,,,,|
ACUTE,H4Lvd,,,,,,,,,|
ADAMANT,H4,Positiv,,,,Strong,,,,|
ADAPT,H4Lvd,,,,,Strong,,Active,,|
ADAPTABILITY,H4,Positiv,,,,Strong,,,,|
ADAPTABLE,H4,Positiv,,,,Strong,,,,|
ADAPTATION,H4,Positiv,,,,Strong,,,,|
ADAPTIVE,H4,Positiv,,,,Strong,,,,|
ADD#1,H4Lvd,,,,,Strong,,,,"| 13% adj: ""Added,"" extra, further,increased--""the added expense"""
ADD#2,H4Lvd,,,,,,,,,"| 87% verb: To combine with so as to increase number, size, importance, completeness"
ADDICT,H4,,Negativ,,,,Weak,,,|
ADDICTION,H4,,Negativ,,,,Weak,,,|
ADDITION#1,H4Lvd,,,,,,,,,| 18% noun: The process or result of adding or uniting
ADDITION#2,H4Lvd,,,,,Strong,,,,"| 82% idiom-adv: 'in addition,' besides, additionally"
ADDITIONAL,H4Lvd,,,,,Strong,,,,|
ADDRESS#1,H4Lvd,,,,,,,Active,,| 41% verb: To direct spoken or written communication to
ADDRESS#2,H4Lvd,,,,,,,Active,,"| 48% noun: A speech (7), the place where mail can be sent (6)"
ADDRESS#3,H4Lvd,,,,,,,Active,,| 11% verb: To apply oneself to
ADEN,Lvd,,,,,,,,,
ADEPT,H4Lvd,Positiv,,Pstv,,Strong,,,,|
ADEPTNESS,H4,Positiv,,,,Strong,,,,|
ADEQUATE,H4Lvd,Positiv,,Pstv,,,,,,| adjective: Sufficient.
ADHERE,H4Lvd,,,,,,,,Passive,|
ADHERENCE,H4Lvd,Positiv,,,,,,,,|
ADHERENT,H4,Positiv,,,,,,,,|
ADHESION,H4,Positiv,,,,,,,,|
ADHESIVE,H4,Positiv,,,,,,,,|
ADJACENT,H4Lvd,,,,,,,,,|
ADJOIN,H4Lvd,,,,,,,,,|
ADJOURNMENT,H4Lvd,,,,,,,,Passive,|
ADJUDICATION,H4Lvd,,,,,,,,,|
ADJUNCT,H4,Positiv,,,,,,,,|
ADJUST#1,H4Lvd,,,,,Strong,,,,| 77% verb: To adapt
ADJUST#2,H4Lvd,Positiv,,Pstv,,,,,,"| 23% adj: ""Adjusted""--adapted"
ADJUSTABLE,H4,Positiv,,,,,,,,|
ADJUSTMENT,H4Lvd,Positiv,,Pstv,,,,,Passive,|
ADMINISTER,H4Lvd,,,,,Strong,,Active,,|
ADMINISTRATION#1,H4Lvd,,,,,Strong,,,,"| 69% noun-adj: A body entrusted with executive or administrative powers,  the time span over which such power is exercised (2)"
ADMINISTRATION#2,H4Lvd,,,,,Strong,,Active,,| 31% noun: Direction or management of institutional activity
ADMINISTRATIVE,H4Lvd,,,,,Strong,,Active,,|
ADMINISTRATOR,H4Lvd,,,,,Strong,,,,|
ADMIRABLE,H4Lvd,Positiv,,,,,,,,|
ADMIRAL#1,Lvd,,,,,,,,,
ADMIRAL#2,Lvd,,,,,,,,,
ADMIRATION,H4Lvd,Positiv,,,,Strong,,,,|
ADMIRE,H4Lvd,Positiv,,Pstv,,,,,Passive,|
ADMIRER,H4,Positiv,,,,Strong,,,,|
ADMISSIBLE,H4Lvd,,,,,,,,Passive,|
ADMISSION,H4Lvd,,,,,,,,Passive,|
ADMIT#1,H4Lvd,Positiv,,Pstv,,,Weak,,Passive,"| 63% verb: To acknowledge, confess, agree"
ADMIT#2,H4Lvd,Positiv,,Pstv,,,,,Passive,"| 33% verb: To grant entry, membership or access to something"
ADMIT#3,H4Lvd,Positiv,,Pstv,,,Weak,,Passive,"| 3% adv: ""Admittedly""--adverbial form of sense 1"
ADMITTANCE,H4,Positiv,,,,,,Active,,|
ADMONISH,H4,,Negativ,,,Strong,,Active,,|
ADMONITION,H4,,Negativ,,,,,Active,,|
ADOLESCENT,Lvd,,,,,,,,,
ADOPT#1,H4Lvd,,,,,,,,Passive,"| 4% adj: ""Adopted""--chosen, accepted"
ADOPT#2,H4Lvd,,,,,,,Active,,"| 96% verb: To choose or accept, take as one's own child (2)"
ADOPTION,Lvd,,,,,,,,,
ADORABLE,H4,Positiv,,,,,,,,|
ADORE,H4,Positiv,,,,,,Active,,|
ADORN,H4,Positiv,,,,Strong,,Active,,|
ADORNMENT,H4,Positiv,,,,,,,,|
ADROIT,H4,Positiv,,,,Strong,,,,|
ADROITLY,H4,Positiv,,,,Strong,,,,|
ADULATION,H4,Positiv,,,,Strong,,,,|
ADULT#1,H4Lvd,,,,,Strong,,,,"| 70% noun: A mature organism, almost always human"
ADULT#2,H4Lvd,Positiv,,Pstv,,Strong,,,,"| 30% adj: Mature, of or pertaining to adults"
ADULTERATE,H4,,Negativ,,,,,,,|
ADULTERATION,H4,,Negativ,,,,,,,|
ADULTERY,H4,,Negativ,,,,,,,|
ADVANCE#1,H4Lvd,Positiv,,Pstv,,Strong,,Active,,"| 47% verb: To move or bring forward, improve, promote"
ADVANCE#2,H4Lvd,Positiv,,Pstv,,Strong,,Active,,"| 20% noun-adj: A moving forward, improvement, approach, in front, prior"
ADVANCE#3,H4Lvd,Positiv,,Pstv,,,,,Passive,"| 20% adj: ""Advanced""--forward, in front, progressive"
ADVANCE#4,H4Lvd,,,,,,,,,"| 13% idiom-adv: ""In advance""--before, beforehand"
ADVANCEMENT,H4Lvd,Positiv,,Pstv,,,,,,|
ADVANTAGE,H4Lvd,Positiv,,Pstv,,Strong,,,,"| noun: Any state or opportunity favorable to success, benefit, gain, position  of superiority."
ADVANTAGEOUS,H4Lvd,Positiv,,Pstv,,Strong,,,,|
ADVENT,H4,Positiv,,,,,,,,|
ADVENTURE,H4Lvd,,,,,,,Active,,|
ADVENTURESOME,H4,Positiv,,,,Strong,,Active,,|
ADVENTUROUS,H4Lvd,Positiv,,,,Strong,,Active,,|
ADVERSARY,H4Lvd,,Negativ,,,,,,,|
ADVERSE,H4Lvd,,Negativ,,Ngtv,,,,,|
ADVERSITY,H4,,Negativ,,,,,,,|
ADVICE,H4Lvd,,,,,,,,,"| noun: An opinion recommended, or offered, as worthy to be followed."
ADVISABLE,H4Lvd,Positiv,,,,,,,,|
ADVISE,H4Lvd,,,,,,,,,|
ADVISER,H4Lvd,,,,,,,,,|
ADVISOR,H4Lvd,,,,,,,,,|
ADVISORY,H4Lvd,,,,,,,,,|
ADVOCACY,H4Lvd,Positiv,,,,,,,,|
ADVOCATE#1,H4Lvd,,,,,Strong,,Active,,|
ADVOCATE#2,H4Lvd,,,,,Strong,,Active,,|
AESTHETIC,H4Lvd,,,,,,,,,|
AFFABILITY,H4,Positiv,,,,,,,,|
AFFABLE,H4,Positiv,,,,,,,,|
AFFAIR#1,H4Lvd,,,,,,,Active,,"| 71% noun: Anything requiring action or attention, business, social event,  any matter, occurrence or thing"
AFFAIR#2,H4Lvd,,,,,,,,,| 21% noun: A love affair
AFFAIR#3,H4Lvd,,,,,,,,,"| 7% idiom-noun: ""State (of) affairs""--situation, handled by state"
AFFECT,H4Lvd,,,,,,,Active,,| verb: To produce a change in
AFFECTATION,H4,,Negativ,,,,,,,|
AFFECTION,H4Lvd,Positiv,,Pstv,,,,,,|
AFFECTIONATE,H4Lvd,Positiv,,Pstv,,,,,,|
AFFILIATE,H4Lvd,Positiv,,,,,,Active,,|
AFFILIATION,H4,Positiv,,,,,,,,|
AFFINITY,H4,Positiv,,,,Strong,,,,|
AFFIRM,H4Lvd,Positiv,,Pstv,,Strong,,,,|
AFFIRMANCE,Lvd,,,,,,,,,
AFFIRMATION,H4,Positiv,,,,,,,,|
AFFIRMATIVE,H4,Positiv,,,,,,,,|
AFFIX,H4,Positiv,,,,,,Active,,|
AFFLICT,H4Lvd,,Negativ,,Ngtv,Strong,,Active,,|
AFFLICTION,H4Lvd,,Negativ,,Ngtv,,Weak,,Passive,|
AFFLUENCE,H4Lvd,Positiv,,,,,,,,|
AFFLUENT,H4,Positiv,,,,,,,,|
AFFORD#1,H4Lvd,,,,,Strong,,,,| 74% verb: To bear or meet the expense of
AFFORD#2,H4Lvd,,,,,Strong,,,,"| 26% verb: To furnish, confer upon or be capable of providing"
AFGHANISTAN,Lvd,,,,,,,,,
AFLOAT,H4,Positiv,,,,Strong,,,,|
AFRAID#1,H4Lvd,,,,,,,,Passive,"| adjective: Feeling fear, filled with apprehension"
AFRAID#2,H4Lvd,,Negativ,,Ngtv,,Weak,,,"| 1% idiom: ""Afraid not"""
AFRICA,H4Lvd,,,,,,,,,|
AFRICAN,H4Lvd,,,,,,,,,|
AFTER#1,H4Lvd,,,,,,,,,"| 92% prep-adv: Later in time than, following, in pursuit or search of."
AFTER#2,H4Lvd,,,,,,,,,"| 3% idiom: ""After all"""
AFTER#3,H4Lvd,,,,,,,,,"| 3% idiom-verb: ""Look after""--to care for or supervise (handled by 'look')"
AFTERNOON,H4Lvd,,,,,,,,,| noun-adj: The time from noon until evening--part of day.
AFTERWARD,H4Lvd,,,,,,,,,"| adverb: In later or subsequent time, subsequently."
AGAIN#1,H4Lvd,,,,,,,,,"| adverb: Once more, anew, another time"
AGAIN#2,H4Lvd,,,,,,,,,| 1% idiom-adv: 'again and again'--repeatedly
AGAIN#3,H4Lvd,,,,,,,,,"| 0% idiom-adv: ""Time and (time) again""--handled by ""time"""
AGAINST,H4Lvd,,Negativ,,Ngtv,,,,,"| prep: In opposition to, adverse or hostile to"
AGE#1,H4Lvd,,,,,,,,,"| 79% noun-adj: Time period measured by length of existence, era; possessing  a certain age (3)"
AGE#2,H4Lvd,,,,,,,,,"| 21% noun-adj: ""Aged""--the old, old"
AGE#3,H4Lvd,,,,,,,,,| 0% verb: To grow old
AGE#4,H4Lvd,,,,,,,,,"| 0% noun-adj: ""Aging""--growing old"
AGENCY,H4Lvd,,,,,,,,,"| noun: A commercial or other bureau furnishing some form of service for  the public, the office of an agent."
AGENT,H4Lvd,,,,,,,,,|
AGGRAVATE,H4Lvd,,Negativ,,Ngtv,Strong,,Active,,|
AGGRAVATION,H4Lvd,,Negativ,,Ngtv,Strong,,Active,,|
AGGREGATE,H4,Positiv,,,,,,,,|
AGGREGATION,H4,Positiv,,,,,,,,|
AGGRESSION,H4Lvd,,Negativ,,Ngtv,Strong,,Active,,|
AGGRESSIVE,H4Lvd,,Negativ,,Ngtv,Strong,,Active,,"| adjective: Characterized by aggression, tending to aggress, making the  first attack, energetic, vigorous."
AGGRESSIVENESS,H4Lvd,,Negativ,,Ngtv,Strong,,Active,,|
AGGRESSOR,H4Lvd,,Negativ,,,,,,,|
AGGRIEVE,H4,,Negativ,,,,,Active,,|
AGHAST,H4,,Negativ,,,,,,,|
AGILE,H4,Positiv,,,,Strong,,,,|
AGILITY,H4,Positiv,,,,Strong,,,,|
AGITATE,H4Lvd,,Negativ,,Ngtv,Strong,,Active,,|
AGITATION,H4Lvd,,Negativ,,Ngtv,Strong,,Active,,|
AGITATOR,H4,,Negativ,,,,,,,|
AGO,H4Lvd,,,,,,,,,"| adj-adv: Gone, past (following nouns), in past time"
AGONIZE,H4,,Negativ,,,,,,Passive,|
AGONY,H4Lvd,,Negativ,,Ngtv,,,,,|
AGRARIAN,Lvd,,,,,,,,,
AGREE#1,H4Lvd,,,Pstv,,,,,,"| 96% verb: To be of one mind, harmonize in opinion or feeling, give consent, assent"
AGREE#2,H4Lvd,,,,,,,,Passive,"| 4% adj: ""Agreed""--settled or determined by mutual consent, as ""the agreed  price""; of the same opinion, as ""we are agreed"""
AGREEABLE,H4Lvd,Positiv,,Pstv,,,,,,|
AGREEMENT,H4Lvd,Positiv,,Pstv,,Strong,,,,"| noun: Unanimity of opinion, state of accord, mutual arrangement."
AGRICULTURAL,H4Lvd,,,,,,,,,| adjective: Having to do with agriculture.
AGRICULTURE,H4Lvd,,,,,,,,,|
AHEAD,H4Lvd,,,,,,,,,"| adverb: Forward or in front in time, distance, etc."
AID#1,H4Lvd,Positiv,,Pstv,,Strong,,Active,,| 16% verb: To give help
AID#2,H4Lvd,Positiv,,Pstv,,,,Active,,"| 81% noun: Help, a helper"
AID#3,H4Lvd,,,,,,,,,"| 3% idiom-noun: ""Hearing aid""--handled by ""hear"""
AIDE,H4Lvd,,,,,,,,,|
AIL,H4,,Negativ,,,,,,Passive,|
AILMENT,H4,,Negativ,,,,,,,|
AIM#1,H4Lvd,,,,,,,Active,,"| 76% noun: Something intended or desired to be attained by one's efforts-  goal, purpose."
AIM#2,H4Lvd,,,,,,,Active,,"| 24% verb: To direct at or to, to try for, to direct one's efforts towards;  rarely in sense of weapons (3)"
AIMLESS,H4Lvd,,Negativ,,,,,,Passive,|
AIN'T,H4Lvd,,,,,,,,,|
AIR#1,H4Lvd,,,,,,,,,"| 67% noun-adj: Gaseous elements surrounding the earth, atmosphere; transported  by airplane (e.g. ""air mail"") (1)"
AIR#2,H4Lvd,,,,,,,,,"| 12% adj: ""Air force,"" ""air defense""--referring to airborne military divisions,  and operations"
AIR#3,H4Lvd,,,,,,,,,"| 5% noun: A characteristic quality, or trait; affectation (1)"
AIR#4,H4Lvd,,,,,Strong,,,,"| 1% verb: To expose to air (0), to make known, publicize (1)"
AIR#5,H4Lvd,,,,,,,,,"| 3% idiom-noun: ""Air conditioner"""
AIR#6,H4Lvd,,,,,,,,,| 0% noun: Broadcast medium
AIR#7,H4Lvd,,,,,,,,,"| 1% idiom-noun: ""Air conditioning""--handled by ""condition"""
AIRCRAFT,H4Lvd,,,,,,,,,|
AIRPLANE,H4Lvd,,,,,,,,,|
AIRPORT,H4Lvd,,,,,,,,,|
AKIN,H4Lvd,,,,,,,,,|
ALABAMA,Lvd,,,,,,,,,
ALARM#1,H4Lvd,,,,,,,Active,,|
ALARM#2,H4Lvd,,Negativ,,Ngtv,,,Active,,|
ALARMING,H4,,Negativ,,,,,,,|
ALAS,H4,,Negativ,,,,,,,|
ALASKA,H4Lvd,,,,,,,,,|
ALBANIA,Lvd,,,,,,,,,
ALBUM,H4Lvd,,,,,,,,,|
ALCOHOLIC,H4Lvd,,,,,,,,,|
ALERT,H4Lvd,,,,,Strong,,Active,,|
ALERTNESS,H4,Positiv,,,,,,,,|
ALGERIA,Lvd,,,,,,,,,
ALGIERS,Lvd,,,,,,,,,
ALIBI,H4,,Negativ,,,,Weak,,Passive,|
ALIEN,H4Lvd,,Negativ,,Ngtv,,,,,|
ALIENATE,H4,,Negativ,,,,,,,|
ALIENATION,H4Lvd,,Negativ,,Ngtv,,,,,|
ALIGHT,H4,Positiv,,,,,,,,|
ALIGN#1,Lvd,,,,,,,,,
ALIGN#2,Lvd,,,,,,,,,
ALIKE,H4Lvd,,,,,,,,,|
ALIVE,H4Lvd,Positiv,,Pstv,,Strong,,Active,,"| adjective: Living, existing, full of life."
ALL#1,H4Lvd,,,,,,,,,"| 40% adj: Every, any, the whole"
ALL#10,Lvd,,,,,,,,,
ALL#11,Lvd,,,,,,,,,
ALL#12,Lvd,,,,,,,,,
ALL#13,Lvd,,,,,,,,,
ALL#2,H4Lvd,,,,,,,,,"| 36% pron-adv: Each and every one or thing, the whole--entirely, completely"
ALL#3,H4Lvd,,,,,,,,,"| 4% idiom-adv: ""At all""--(with negatives)--whatsoever"
ALL#4,H4Lvd,,,,,,,,,"| 7% idiom: ""All right""--handled by ""right"""
ALL#5,H4Lvd,,,,,,,,,"| 2% idiom: ""All over""--in all places, covering--handled by ""over"""
ALL#6,H4Lvd,,,,,,,,,"| 1% idiom: ""After all""--handled by ""after"""
ALL#7,H4Lvd,,,,,,,,,"| 0% idiom: ""All of a sudden""--handled by ""sudden"""
ALL#8,H4Lvd,,,,,,,,,"| 4% idiom-adv: ""Above all""--handled by ""above"""
ALL#9,H4Lvd,,,,,,,,,"| 2% idiom-adv: ""First of all""--handled by ""first"""
ALL#_10,H4,,,,,,,,,"| 0% idiom-adv: ""By all means""--handled by ""mean"""
ALL#_11,H4,,,,,,,,,"| 0% idiom: ""Once and for all""--handled by ""once"""
ALL#_12,H4,,,,,,,,,"| 0% idiom-adj: ""All of a piece""--the same--handled by ""piece"""
ALL#_13,H4,,,,,,,,,"| 0% idiom: ""All told""--in all--handled by ""told"""
ALLEDGE,Lvd,,,,,,,,,
ALLEGATION,H4Lvd,,Negativ,,Ngtv,,,,,|
ALLEGE,H4,,Negativ,,,,Weak,,,|
ALLEGIANCE,H4Lvd,Positiv,,,,,,,,|
ALLEVIATE,H4Lvd,Positiv,,,,,,Active,,|
ALLIANCE,H4Lvd,Positiv,,Pstv,,Strong,,,,|
ALLIED,H4Lvd,Positiv,,Pstv,,Strong,,,,|
ALLIES,H4,Positiv,,,,,,,,|
ALLOCATION,H4Lvd,,,,,,,,,|
ALLOT,H4Lvd,,,,,,,,,|
ALLOTMENT,H4Lvd,,,,,,,,,|
ALLOW#1,H4Lvd,Positiv,,Pstv,,,,,Passive,| 97% verb: Permit
ALLOW#2,H4Lvd,,,,,,,,,"| 3% idiom-verb: ""Allow for""--make provision for"
ALLOWABLE,H4,Positiv,,,,,,,,|
ALLOWANCE,H4Lvd,Positiv,,,,,,,,|
ALLURE,H4,Positiv,,,,,,,,|
ALLUSION,H4Lvd,,,,,,,,,|
ALLY#1,H4Lvd,Positiv,,Pstv,,Strong,,,,|
ALLY#2,H4Lvd,,,,,,,,,|
ALMIGHTY,H4Lvd,Positiv,,,,Strong,,,,|
ALMOST,H4Lvd,,,,,,,,,"| adverb: Very nearly, all but."
